;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0.9;0.1;64.0;1.3459327220916748;0.5968586206436157;1.2525606155395508;0.6230366230010986;1.135267734527588;0.6928446888923645;50.0;50.0;50.0;0.01
1;0.9;0.1;64.0;1.2038580179214478;0.6893543004989624;1.0755434036254885;0.6893543004989624;1.3175990581512451;0.661431074142456;100.0;100.0;100.0;0.01
2;0.9;0.1;64.0;1.3681020736694336;0.6195462346076965;1.1552221775054932;0.6701570749282837;1.955447793006897;0.5253053903579712;150.0;150.0;150.0;0.01
3;0.9;0.1;64.0;1.6139369010925293;0.7260034680366516;1.6240365505218506;0.7120419144630432;2.574725866317749;0.5898778438568115;50.0;50.0;50.0;0.001
4;0.9;0.1;64.0;1.4399429559707642;0.7085514664649963;1.5381132364273071;0.6858638525009155;1.71233069896698;0.650959849357605;100.0;100.0;100.0;0.001
0;0.9;0.1;64.0;1.938573718070984;0.6230366230010986;1.7811708450317385;0.6439790725708008;1.3993533849716189;0.6841186881065369;150.0;150.0;150.0;0.001
1;0.9;0.1;64.0;1.3222167491912842;0.6230366230010986;0.9888461232185364;0.7068063020706177;1.6306365728378296;0.6125654578208923;50.0;50.0;50.0;0.0001
2;0.9;0.1;64.0;1.31910502910614;0.6945898532867432;1.4887933731079102;0.6666666865348816;1.3633137941360474;0.7137870788574219;100.0;100.0;100.0;0.0001
3;0.9;0.1;64.0;1.5077570676803589;0.687609076499939;1.6197454929351809;0.6492146849632263;1.679555892944336;0.6561954617500305;150.0;150.0;150.0;0.0001
4;0.9;0.1;128.0;4.69202995300293;0.26876091957092285;1.3032912015914917;0.62129145860672;1.7686936855316162;0.4328097701072693;50.0;50.0;50.0;0.01
0;0.9;0.1;128.0;1.5079712867736816;0.6038394570350647;1.0675252676010132;0.7399650812149048;1.209699273109436;0.6527050733566284;100.0;100.0;100.0;0.01
1;0.9;0.1;128.0;1.2603559494018557;0.687609076499939;1.543070673942566;0.5776614546775818;1.6782231330871582;0.6055846214294434;150.0;150.0;150.0;0.01
2;0.9;0.1;128.0;3.0535788536071777;0.5130890011787415;2.2669451236724854;0.6352530717849731;2.348710060119629;0.6945898532867432;50.0;50.0;50.0;0.001
