;Unnamed: 0;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0;0.9;0.1;64.0;1.2982137203216553;0.6335078477859497;1.236783146858215;0.6369982361793518;4.3056602478027335;0.4101221561431885;50.0;50.0;50.0;0.01
1;1;0.9;0.1;64.0;1.3965182304382324;0.6073298454284668;1.3081214427947998;0.6596858501434326;1.4202598333358765;0.6561954617500305;100.0;100.0;100.0;0.01
2;2;0.9;0.1;64.0;1.3069826364517212;0.6684118509292603;1.2917811870574951;0.6753926873207092;1.731053590774536;0.5933682322502136;150.0;150.0;150.0;0.01
3;3;0.9;0.1;64.0;2.6616828441619877;0.6788830757141113;2.5099966526031494;0.6945898532867432;2.837932109832764;0.6527050733566284;50.0;50.0;50.0;0.001
4;4;0.9;0.1;64.0;2.100332736968994;0.6719022393226624;2.1297717094421387;0.6404886841773987;2.3617587089538574;0.6282722353935242;100.0;100.0;100.0;0.001
0;0;0.9;0.1;64.0;1.7161403894424438;0.6910994648933411;1.732534646987915;0.6771378517150879;1.7383939027786257;0.6736474633216858;150.0;150.0;150.0;0.001
1;1;0.9;0.1;64.0;1.597112059593201;0.6719022393226624;2.018015146255493;0.6457242369651794;1.69554340839386;0.6649214625358582;50.0;50.0;50.0;0.0001
2;2;0.9;0.1;64.0;2.7593791484832764;0.6003490686416626;1.777323603630066;0.6719022393226624;1.786918044090271;0.6963350772857666;100.0;100.0;100.0;0.0001
3;3;0.9;0.1;64.0;1.7030774354934692;0.7033158540725708;1.8763604164123533;0.7033158540725708;1.7362408638000488;0.7085514664649963;150.0;150.0;150.0;0.0001
4;4;0.9;0.1;128.0;1.5998191833496094;0.6125654578208923;1.4220987558364868;0.6474694609642029;1.2995953559875488;0.6806282997131348;50.0;50.0;50.0;0.01
5;5;0.9;0.1;128.0;1.5104206800460815;0.6020942330360413;1.374460220336914;0.6020942330360413;3.623214721679688;0.2774869203567505;100.0;100.0;100.0;0.01
0;0;0.9;0.1;128.0;1.8024533987045288;0.6125654578208923;1.4311537742614746;0.6719022393226624;2.1029140949249268;0.614310622215271;150.0;150.0;150.0;0.01
1;1;0.9;0.1;128.0;3.540388345718384;0.7033158540725708;3.761285543441773;0.5776614546775818;4.0718994140625;0.6265270709991455;50.0;50.0;50.0;0.001
2;2;0.9;0.1;128.0;2.967369079589844;0.6893543004989624;3.812450885772705;0.5636998414993286;3.4635915756225586;0.5986038446426392;100.0;100.0;100.0;0.001
3;3;0.9;0.1;128.0;2.4132554531097408;0.7033158540725708;2.572577953338623;0.6701570749282837;3.559849500656128;0.6282722353935242;150.0;150.0;150.0;0.001
